EJER;CCAA;SECTOR;TIPOPER;MODELO;M390_1;M390_2;M390_3;M390_4;M390_5;M390_6;M390_7;M390_8;M390_9;M390_10;M390_11;M390_12;M390_13;M390_14;M390_15;M390_16;M390_17;M390_18;M390_19;M390_20;M390_21;M390_22;M390_23;M390_24;M390_25;M390_26;M390_27;M390_28;M390_29;M390_30;M390_31;M390_32;M390_33;M390_34;M390_35;M390_36;M390_37;M390_38;M390_39
2024;2;5;0;390;550162277,160000;95921504,600000;96235396,000000;59537143,620000;2239070,910000;273072,850000;1495831,370000;163972,020000;872892,650000;63356215,190000;32879180,810000;5047447,550000;973136893,190000;535453193,690000;5167973,200000;11030698,400000;11115335,580000;2602620,150000;238849839,000000;850005346,420000;533612789,440000;447736536,630000;273072992,390000;25972981,860000;4984203,990000;37932950,190000;0,000000;38247826,470000;36288221,470000;36603097,750000;43454594,430000;815023,220000;3050818,110000;2081979,560000;314876,280000;0,000000;0,000000;11272;0
2024;2;5;1;390;25185312381,050000;4224585850,650000;4233930573,170000;3056018750,840000;54379443,170000;220148694,270000;496946206,460000;102587950,260000;52508141,860000;3789060694,490000;444869878,680000;9148,080000;28287699645,600000;21713218264,820000;2594715814,420000;1753851350,880000;71012391,470000;251476133,770000;5031902774,460000;28515801115,630000;21682560939,330000;23136963610,900000;5394729902,370000;276259189,310000;540185201,420000;444868458,480000;171254330,050000;666366631,510000;548800498,490000;599044341,470000;949937151,340000;348975823,990000;41714329,800000;34260516,850000;221498173,030000;83055137,940000;59245210,790000;9598;89
2024;2;6;0;390;25670336,710000;5112244,950000;5112287,220000;1154276,830000;104709,920000;3172,800000;27301,100000;22768,260000;0,000000;1293557,700000;3818729,520000;265,230000;37169301,600000;25097083,700000;3553163,950000;2828570,090000;381008,310000;4755874,500000;19050661,830000;32278626,580000;25202018,700000;6370823,380000;25907803,200000;562179,950000;6210230,530000;3818994,750000;0,000000;3824386,330000;3756169,740000;3761561,320000;3979933,010000;6879,040000;124656,630000;92234,470000;5391,580000;0,000000;0,000000;1037;0
2024;2;6;1;390;1047217213,310000;213444450,580000;213457022,350000;111168114,420000;611929,120000;644300,680000;1016327,240000;5828324,650000;0,000000;116402749,130000;97054273,220000;0,000000;1157935793,700000;966075493,830000;60697049,340000;43598262,860000;2685096,610000;69453428,130000;487769262,310000;1098764648,810000;968372926,170000;576627097,630000;522149064,750000;3199521,750000;95879828,210000;97054273,220000;462311,400000;97797998,500000;95327607,610000;95609021,490000;108060471,540000;1551289,110000;1353514,580000;1515742,540000;743725,280000;170404,790000;8482670,990000;882;5
2024;2;7;0;390;25686345,110000;5257369,290000;5257373,510000;615232,010000;130938,290000;105,860000;610,940000;1452,720000;324,000000;724242,700000;4533130,810000;0,000000;29852803,050000;25185939,220000;228344,950000;667264,380000;3154125,620000;291686,490000;22087218,710000;29570552,450000;25147277,250000;3315458,930000;26434470,330000;633921,120000;887112,690000;4533130,810000;0,000000;4534237,570000;4519880,400000;4520987,160000;4569504,490000;0,000000;21758,430000;27855,150000;1106,760000;0,000000;0,000000;765;0
2024;2;7;1;390;486233863,570000;101239421,720000;101239421,720000;66745368,070000;6758284,110000;284264,610000;1167360,570000;655471,230000;0,000000;77553407,700000;23686014,020000;0,000000;4283960832,840000;448441032,700000;9960800,730000;1684438,810000;3813087115,290000;3542942,570000;87756788,150000;4286019556,010000;446167636,880000;519212562,170000;3766806993,840000;62992249,210000;4483350,340000;23686014,020000;0,000000;23998812,640000;23428518,640000;23741317,260000;8250065,350000;0,000000;367498,610000;1778431,060000;312798,620000;22683311,370000;5359394,270000;316;9
2024;2;8;0;390;535655400,640000;109836877,310000;109840083,140000;20862085,410000;2119824,150000;6521,050000;158831,530000;196143,170000;14711,030000;23227607,790000;86612475,350000;16843,690000;567089701,730000;524223875,940000;8757497,580000;5990248,830000;6954230,930000;6035046,740000;417867519,040000;556956971,210000;531019597,420000;111250700,380000;445938571,260000;10394126,810000;13759623,980000;86629288,890000;0,000000;86660463,670000;85945724,110000;85976898,890000;87481204,610000;2566,460000;781599,710000;751392,890000;31174,780000;0,000000;0,000000;11391;0
2024;2;8;1;390;3455090558,670000;672144103,780000;672169963,170000;396028169,050000;31132192,760000;6054690,530000;14972158,370000;10196938,430000;104124,150000;448737038,260000;223432924,910000;5322,480000;4029003162,110000;3100591546,740000;156678268,970000;181420311,430000;77835464,470000;120541070,480000;1245748251,470000;3795562528,600000;3093847107,510000;2132723253,900000;1671270007,650000;147800542,950000;237737701,350000;223438392,550000;3066676,020000;229137650,790000;218166814,140000;220799396,360000;247960192,750000;31872867,120000;11058354,280000;8663204,630000;5699258,240000;34060498,860000;12259351,000000;5950;55
2024;2;9;0;390;35221982,110000;6648071,990000;6648078,500000;1839968,390000;518178,570000;94,180000;16165,040000;16736,460000;4803,570000;2343499,250000;4304579,250000;64475,670000;53469427,910000;34184289,770000;285827,450000;607053,650000;14978279,150000;321774,900000;22956780,630000;52441909,690000;34156700,520000;11367915,820000;40375564,320000;3067324,830000;778405,010000;4369054,920000;0,000000;4371708,960000;4243573,820000;4246227,860000;4537856,700000;0,000000;147614,500000;147035,540000;2654,040000;0,000000;0,000000;1836;0
2024;2;9;1;390;844905315,710000;84079028,150000;84079300,950000;44998117,110000;7510081,710000;43035,080000;435433,220000;3395009,930000;2983,990000;55913984,380000;28165316,570000;0,000000;1162658632,820000;815983318,770000;7870625,420000;28265341,350000;294100216,440000;7305353,480000;531457897,140000;1156691571,630000;817243396,460000;346753871,330000;809946232,380000;36408908,800000;31813487,270000;28128216,460000;0,000000;28219947,660000;24990307,540000;25082038,740000;34716697,400000;3109823,610000;6344438,420000;1787863,950000;91731,200000;1549833,240000;34025,830000;1689;3
2024;2;10;0;390;552722010,340000;73349677,530000;73350918,540000;48598080,870000;2387846,250000;30669,120000;203112,760000;256411,870000;72425,430000;50560452,220000;22790466,320000;2553453,920000;708025762,380000;548198621,580000;1684174,080000;1182663,740000;3483154,810000;1259839,600000;261418796,320000;731004640,590000;548010671,670000;388843015,650000;273296825,900000;14910058,120000;1156877,540000;25341177,870000;0,000000;25379910,430000;23414916,160000;23453648,720000;28582609,830000;4971,960000;2776677,770000;2383647,300000;38732,560000;0,000000;0,000000;11185;0
2024;2;10;1;390;2070725004,210000;268491852,460000;268510718,740000;189225687,660000;11556184,590000;391326,470000;2234298,990000;2934896,430000;32141,870000;201987959,860000;66522758,880000;15431,290000;2161791895,810000;2031761587,460000;6487899,830000;1941261,240000;111976110,060000;3527143,020000;895038227,670000;2176308943,960000;2027096739,500000;1172272236,060000;1004153324,750000;55761254,910000;-4989739,720000;66538176,380000;0,000000;66866589,010000;61199886,890000;61528299,520000;77436042,770000;4925551,710000;7310044,980000;5428190,830000;328412,630000;2585173,890000;1158131,920000;5106;20
2024;2;99;0;390;98587,010000;20700,670000;20700,670000;1835,210000;0,000000;0,000000;0,000000;0,000000;0,000000;1835,210000;18865,460000;0,000000;92977,930000;98587,010000;0,000000;0,000000;0,000000;0,000000;89847,920000;92977,930000;92977,930000;9036,970000;83940,960000;-5609,080000;0,000000;18865,460000;0,000000;18865,460000;18865,460000;18865,460000;19067,000000;0,000000;0,000000;201,540000;0,000000;0,000000;0,000000;18;0
2024;2;99;1;390;207989820,880000;28044894,540000;28028680,580000;21567680,120000;2396622,520000;188573,530000;1966505,670000;129245,410000;17072,740000;25924725,920000;2103954,660000;398,330000;234228155,750000;186186113,660000;7815615,470000;4777363,490000;25400035,210000;6561523,340000;63574541,190000;238114046,660000;186333838,800000;154392670,470000;83721376,200000;15862627,460000;-592673,760000;2104352,990000;153890,330000;2385753,820000;1415670,900000;1543181,400000;5787258,410000;1905867,000000;1169716,380000;1334685,720000;281400,830000;579839,930000;541249,850000;350;2
2024;4;1;0;390;91666553,490000;13726926,150000;13733100,450000;5594213,760000;1810679,820000;1770,520000;15762,700000;9474,430000;26567,120000;7388862,320000;6344238,130000;19505,510000;94698189,190000;90654608,250000;225353,800000;243239,200000;1596242,670000;99009,240000;48268314,590000;94224603,960000;89783190,800000;36473460,840000;57730948,470000;7915446,620000;312541,060000;6365150,980000;0,000000;6376672,520000;5987634,200000;5999155,740000;8953164,860000;0,000000;2393658,230000;571669,590000;11521,540000;0,000000;0,000000;2323;0
2024;4;1;1;390;269153660,990000;24083607,100000;24085501,440000;25544492,440000;2874040,190000;14182,310000;602342,510000;161034,610000;793202,710000;29468856,810000;-5383355,370000;0,000000;274949893,090000;264241283,330000;1413325,930000;1994590,460000;4799972,770000;235716,240000;72724844,610000;282622664,950000;264073090,850000;191574953,100000;91047711,850000;14466915,250000;-194024,250000;-5383355,370000;0,000000;-5356319,410000;-6615684,120000;-6588648,160000;6905055,750000;3026771,950000;9051318,560000;1894324,050000;27035,960000;466550,110000;14876,390000;930;3
2024;4;2;0;390;9612248,660000;1532169,020000;1532169,020000;664200,260000;57468,700000;0,000000;57595,690000;712,300000;288,100000;776411,360000;755757,660000;0,000000;9503387,160000;9320179,720000;0,000000;14658,250000;351,000000;0,000000;5706168,080000;9340716,470000;9323290,380000;3660801,650000;5679914,820000;226135,320000;-265667,460000;755757,660000;0,000000;756997,810000;702687,160000;703927,310000;767002,250000;0,000000;28915,030000;35399,970000;1240,150000;0,000000;0,000000;170;0
2024;4;2;1;390;626523694,370000;83658443,890000;83660859,390000;68597429,930000;10204608,980000;248193,330000;2019297,450000;256563,350000;702,640000;78050555,760000;5610303,630000;0,000000;655509970,260000;583214475,950000;2063783,220000;1203113,860000;54018171,700000;1358698,560000;230403331,450000;692510470,850000;584365808,930000;407929271,840000;284581199,020000;48981489,740000;-11996498,810000;5610303,630000;0,000000;5863497,810000;4800438,150000;5053632,330000;19164207,740000;9900403,260000;3696696,770000;662432,360000;253194,180000;230146,370000;334652,480000;403;2
2024;4;3;0;390;205460212,620000;39517791,390000;39561385,640000;22447612,900000;1128874,500000;168183,120000;774080,690000;92030,950000;10612,000000;24280301,330000;15281084,310000;138698,390000;226416331,210000;202443262,420000;4222237,180000;3930180,570000;501987,480000;1542325,340000;86460469,500000;216038045,910000;201809402,590000;120497253,900000;94693037,160000;5175526,260000;2843554,680000;15419782,700000;0,000000;15694327,020000;14582345,320000;14856889,640000;16215601,220000;27965,290000;684258,670000;921012,860000;274544,320000;0,000000;0,000000;2787;0
