EJER;CCAA;PROV;SEXO;MODELO;M190_P1;M190_P2;M190_P3
2023;7;47;2;190;68703;1045554416,0700000;61716,0000000
2023;7;49;1;190;29954;476359970,6300000;26750,0000000
2023;7;49;2;190;26290;348292960,0000000;23947,0000000
2023;2;50;2;190;125169;1961539711,0500000;113263,0000000
2023;2;50;1;190;127024;2762082118,1400000;113024,0000000
2023;77;99;2;190;13892;187115530,0300000;12615,0000000
2023;77;99;1;190;13935;270099668,8800000;12297,0000000
2022;8;2;2;190;40381;497076548,2400000;37058,0000000
2022;8;2;1;190;47528;737394542,3000000;43559,0000000
2022;10;3;2;190;187152;2267522490,2100000;171856,0000000
2022;10;3;1;190;184729;2914658818,5100000;169127,0000000
2022;1;4;1;190;63019;962973801,5200000;57744,0000000
2022;1;4;2;190;63746;757589535,5400000;58720,0000000
2022;7;5;2;190;21651;263072095,7400000;19468,0000000
2022;7;5;1;190;26074;383322797,5100000;23079,0000000
2022;11;6;2;190;80448;894154459,3000000;69625,0000000
2022;11;6;1;190;87732;1246336340,7200000;79306,0000000
2022;4;7;1;190;110195;1874490750,4900000;98014,0000000
2022;4;7;2;190;116165;1533254187,3500000;105252,0000000
2022;9;8;1;190;701636;13244160792,7200000;594330,0000000
2022;9;8;2;190;784495;11004280369,3400000;674617,0000000
2022;7;9;2;190;49764;677546743,3000000;44282,0000000
2022;7;9;1;190;56416;1069996779,8800000;48768,0000000
2022;11;10;1;190;58053;855720072,1500000;52805,0000000
2022;11;10;2;190;55996;650842401,7600000;49432,0000000
2022;1;11;2;190;128421;1654858307,6500000;119295,0000000
2022;1;11;1;190;151213;2636673095,5000000;136797,0000000
2022;10;12;1;190;73076;1242219138,2200000;66444,0000000
2022;10;12;2;190;73209;913871662,4200000;66734,0000000
2022;8;13;1;190;65416;1033861505,8500000;59861,0000000
2022;8;13;2;190;53137;651840645,6500000;49068,0000000
2022;1;14;2;190;98860;1210664092,5900000;92288,0000000
2022;1;14;1;190;93572;1475528897,0800000;86651,0000000
2022;12;15;2;190;178107;2208078287,0800000;160898,0000000
2022;12;15;1;190;168890;2840341499,8000000;150436,0000000
2022;8;16;1;190;28933;414402366,1600000;26451,0000000
2022;8;16;2;190;24126;284270557,0000000;22233,0000000
2022;9;17;2;190;97384;1256307807,5100000;82378,0000000
2022;9;17;1;190;91480;1514049234,5800000;77117,0000000
2022;1;18;2;190;111347;1436101606,1400000;102292,0000000
2022;1;18;1;190;106642;1724053050,1100000;97078,0000000
2022;8;19;2;190;23784;319719555,9200000;21457,0000000
2022;8;19;1;190;29421;531783996,3500000;25689,0000000
2022;1;21;2;190;56284;687754134,2700000;52249,0000000
2022;1;21;1;190;59771;988962296,7800000;54961,0000000
2022;2;22;2;190;30020;394563755,7300000;26740,0000000
2022;2;22;1;190;32184;548205891,5400000;28745,0000000
2022;1;23;2;190;79244;936637882,5600000;74377,0000000
2022;1;23;1;190;82410;1235051177,4000000;76235,0000000
2022;7;24;1;190;80325;1502490055,0400000;72135,0000000
2022;7;24;2;190;73766;995958006,9000000;67254,0000000
2022;9;25;2;190;61396;736843347,4500000;50839,0000000
2022;9;25;1;190;58172;899513296,2300000;48910,0000000
2022;17;26;2;190;40350;532929182,8500000;35870,0000000
2022;17;26;1;190;43063;746293929,9200000;37886,0000000
2022;12;27;2;190;61200;729316284,5900000;56315,0000000
2022;12;27;1;190;57331;859247139,4700000;52561,0000000
2022;13;28;2;190;762045;11814790541,8200000;667823,0000000
2022;13;28;1;190;730192;15007145258,9900000;620198,0000000
2022;1;29;2;190;164575;2085863882,4700000;152272,0000000
2022;1;29;1;190;161860;2676207439,6300000;148475,0000000
2022;14;30;2;190;145583;1807326689,0200000;133596,0000000
2022;14;30;1;190;151187;2478930506,2100000;137739,0000000
2022;12;32;2;190;58851;663990175,6700000;54472,0000000
2022;12;32;1;190;53708;756561211,9100000;49510,0000000
2022;3;33;2;190;164837;2360537590,8100000;147141,0000000
2022;3;33;1;190;182214;3725703279,9800000;153063,0000000
2022;7;34;1;190;27564;476187542,4000000;23903,0000000
2022;7;34;2;190;23760;313991100,3100000;21327,0000000
2022;5;35;2;190;109145;1425142420,6300000;100776,0000000
2022;5;35;1;190;111596;1815034558,7700000;102601,0000000
2022;12;36;2;190;141080;1716241218,7400000;128232,0000000
2022;12;36;1;190;131707;2201320508,0000000;120603,0000000
